"zipcode","cab_type","part_of_week","count"
"10470","green","Weekend",305
"10470","uber","Weekday",151
"10470","uber","Weekend",129
"10471","green","Weekday",1416
"10471","green","Weekend",980
"10471","uber","Weekday",2484
"10471","uber","Weekend",843
"10472","green","Weekday",12205
"10472","green","Weekend",7605
"10472","uber","Weekday",291
"10472","uber","Weekend",194
"10473","green","Weekday",4729
"10473","green","Weekend",3104
"10473","uber","Weekday",394
"10473","uber","Weekend",211
"10474","green","Weekday",1574
"10474","green","Weekend",863
"10474","uber","Weekday",272
"10474","uber","Weekend",82
"10475","green","Weekday",1412
"10475","green","Weekend",1187
"10475","uber","Weekday",225
"10475","uber","Weekend",185
"11001","green","Weekday",33
"11001","green","Weekend",12
"11001","uber","Weekday",56
"11001","uber","Weekend",16
"11004","green","Weekday",64
"11004","green","Weekend",30
"11004","uber","Weekday",89
"11004","uber","Weekend",58
"11005","green","Weekday",56
"11005","green","Weekend",16
"11005","uber","Weekday",144
"11005","uber","Weekend",43
"11040","green","Weekday",13
"11040","green","Weekend",2
"11040","uber","Weekday",35
"11040","uber","Weekend",10
"11101","green","Weekday",129738
"11101","green","Weekend",104790
"11101","uber","Weekday",19694
"11101","uber","Weekend",12650
"11102","green","Weekday",67551
"11102","green","Weekend",49666
"11102","uber","Weekday",3422
"11102","uber","Weekend",3142
"11103","green","Weekday",119910
"11103","green","Weekend",94138
"11103","uber","Weekday",4573
"11103","uber","Weekend",4074
"11104","green","Weekday",33284
"11104","green","Weekend",24616
"11104","uber","Weekday",2365
"11104","uber","Weekend",1648
"11105","green","Weekday",54282
"11105","green","Weekend",38910
"11105","uber","Weekday",3890
"11105","uber","Weekend",3269
"11106","green","Weekday",82985
"11106","green","Weekend",65534
"11106","uber","Weekday",4634
"11106","uber","Weekend",3784
"11109","green","Weekday",1705
"11109","green","Weekend",1351
"11109","uber","Weekday",480
"11109","uber","Weekend",422
"11201","green","Weekday",331556
"11201","green","Weekend",191620
"11201","uber","Weekday",51350
"11201","uber","Weekend",28699
"11203","green","Weekday",3394
"11203","green","Weekend",2513
"11203","uber","Weekday",2150
"11203","uber","Weekend",1273
"11204","green","Weekday",459
"11204","green","Weekend",276
"11204","uber","Weekday",631
"11204","uber","Weekend",390
"11205","green","Weekday",68306
"11205","green","Weekend",53562
"11205","uber","Weekday",14965
"11205","uber","Weekend",9812
"11206","green","Weekday",42365
"11206","green","Weekend",51863
"11206","uber","Weekday",17761
"11206","uber","Weekend",15142
"11207","green","Weekday",3825
"11207","green","Weekend",3733
"11207","uber","Weekday",2170
"11207","uber","Weekend",1600
"11208","green","Weekday",2007
"11208","green","Weekend",1887
"11208","uber","Weekday",738
"11208","uber","Weekend",537
"11209","green","Weekday",1869
"11209","green","Weekend",1961
"11209","uber","Weekday",3250
"11209","uber","Weekend",2416
"11210","green","Weekday",5401
"11210","green","Weekend",3465
"11210","uber","Weekday",1913
"11210","uber","Weekend",1038
"11211","green","Weekday",321690
"11211","green","Weekend",368730
"11211","uber","Weekday",67116
"11211","uber","Weekend",54323
"11212","green","Weekday",3149
"11212","green","Weekend",2432
"11212","uber","Weekday",1394
"11212","uber","Weekend",735
"11213","green","Weekday",11696
"11213","green","Weekend",9560
"11213","uber","Weekday",4094
"11213","uber","Weekend",2838
"11214","green","Weekday",799
"11214","green","Weekend",490
