"zipcode","cab_type","pickup_week","count"
"10011","uber","21",7729
"10011","green","22",4
"10011","uber","22",7118
"10011","green","23",7
"10011","uber","23",8254
"10011","green","24",4
"10011","uber","24",8607
"10011","green","25",2
"10011","uber","25",7735
"10011","green","26",3
"10011","uber","26",8673
"10011","green","27",7
"10011","uber","27",5810
"10011","green","28",2
"10011","uber","28",8643
"10011","green","29",8
"10011","uber","29",9946
"10011","green","30",8
"10011","uber","30",9958
"10011","green","31",6
"10011","uber","31",9789
"10011","green","32",2
"10011","uber","32",9050
"10011","green","33",2
"10011","uber","33",9001
"10011","green","34",2
"10011","uber","34",8484
"10011","green","35",3
"10011","uber","35",7600
"10011","green","36",2
"10011","uber","36",12124
"10011","uber","37",13114
"10011","green","38",1
"10011","uber","38",12847
"10011","uber","39",10959
"10011","uber","40",2909
"10012","green","14",2
"10012","uber","14",5198
"10012","green","15",2
"10012","uber","15",5532
"10012","green","16",6
"10012","uber","16",5425
"10012","green","17",2
"10012","uber","17",6793
"10012","green","18",4
"10012","uber","18",7062
"10012","green","19",7
"10012","uber","19",6592
"10012","green","20",3
"10012","uber","20",6763
"10012","green","21",1
"10012","uber","21",6037
"10012","green","22",2
"10012","uber","22",5395
"10012","green","23",4
"10012","uber","23",6098
"10012","green","24",3
"10012","uber","24",6812
"10012","green","25",7
"10012","uber","25",6097
"10012","green","26",3
"10012","uber","26",6171
"10012","green","27",2
"10012","uber","27",4776
"10012","green","28",2
"10012","uber","28",6918
"10012","green","29",7
"10012","uber","29",7843
"10012","green","30",5
"10012","uber","30",7725
"10012","green","31",1
"10012","uber","31",7559
"10012","green","32",8
"10012","uber","32",7110
"10012","green","33",2
"10012","uber","33",6935
"10012","green","34",2
"10012","uber","34",7008
"10012","green","35",2
"10012","uber","35",6275
"10012","green","36",1
"10012","uber","36",9100
"10012","green","37",3
"10012","uber","37",10196
"10012","green","38",1
"10012","uber","38",9975
"10012","uber","39",8587
"10012","uber","40",2282
"10013","green","14",2
"10013","uber","14",5552
"10013","green","15",3
"10013","uber","15",6213
"10013","green","16",4
"10013","uber","16",6143
"10013","green","17",5
"10013","uber","17",7242
"10013","green","18",2
"10013","uber","18",7788
"10013","green","19",5
"10013","uber","19",7385
"10013","green","20",4
"10013","uber","20",7431
"10013","green","21",4
"10013","uber","21",6642
"10013","green","22",3
"10013","uber","22",6050
"10013","green","23",4
"10013","uber","23",6992
"10013","green","24",5
"10013","uber","24",7667
"10013","green","25",5
"10013","uber","25",6925
"10013","green","26",7
"10013","uber","26",6966
"10013","green","27",6
"10013","uber","27",5032
"10013","green","28",3
"10013","uber","28",7515
"10013","green","29",4
"10013","uber","29",8719
"10013","green","30",6
"10013","uber","30",8441
"10013","green","31",5
"10013","uber","31",8297
"10013","green","32",1
"10013","uber","32",7970
"10013","green","33",5
"10013","uber","33",7687
"10013","green","34",1
