"zipcode","cab_type","pickup_hour","count"
"10011","green",8,2
"10011","green",9,4
"10011","green",10,8
"10011","green",11,6
"10011","green",12,11
"10011","green",13,3
"10011","green",14,2
"10011","green",15,3
"10011","green",16,4
"10011","green",17,3
"10011","green",18,8
"10011","green",19,6
"10011","green",20,5
"10011","green",21,4
"10011","green",22,8
"10011","green",23,11
"10011","uber",0,6504
"10011","uber",1,5298
"10011","uber",2,4152
"10011","uber",3,3929
"10011","uber",4,2623
"10011","uber",5,3524
"10011","uber",6,6651
"10011","uber",7,9896
"10011","uber",8,9135
"10011","uber",9,6783
"10011","uber",10,6802
"10011","uber",11,7122
"10011","uber",12,7642
"10011","uber",13,9108
"10011","uber",14,11113
"10011","uber",15,13830
"10011","uber",16,15837
"10011","uber",17,16535
"10011","uber",18,16052
"10011","uber",19,14686
"10011","uber",20,14381
"10011","uber",21,16413
"10011","uber",22,14937
"10011","uber",23,10407
"10012","green",0,3
"10012","green",1,2
"10012","green",2,1
"10012","green",4,3
"10012","green",5,1
"10012","green",6,2
"10012","green",7,1
"10012","green",8,5
"10012","green",9,4
"10012","green",10,6
"10012","green",11,2
"10012","green",12,2
"10012","green",13,2
"10012","green",14,3
"10012","green",15,4
"10012","green",16,6
"10012","green",17,3
"10012","green",18,4
"10012","green",19,10
"10012","green",20,5
"10012","green",21,5
"10012","green",22,1
"10012","green",23,7
"10012","uber",0,5312
"10012","uber",1,3157
"10012","uber",2,1839
"10012","uber",3,1555
"10012","uber",4,1541
"10012","uber",5,2155
"10012","uber",6,3944
"10012","uber",7,4957
"10012","uber",8,5328
"10012","uber",9,4942
"10012","uber",10,5207
"10012","uber",11,5794
"10012","uber",12,6461
"10012","uber",13,8302
"10012","uber",14,10044
"10012","uber",15,11856
"10012","uber",16,12636
"10012","uber",17,13713
"10012","uber",18,13165
"10012","uber",19,12397
"10012","uber",20,12549
"10012","uber",21,13801
"10012","uber",22,12492
"10012","uber",23,9117
"10013","green",0,7
"10013","green",1,4
"10013","green",3,5
"10013","green",4,2
"10013","green",5,1
"10013","green",6,1
"10013","green",7,4
"10013","green",8,2
"10013","green",9,8
"10013","green",10,8
"10013","green",11,3
"10013","green",12,6
"10013","green",13,6
"10013","green",14,1
"10013","green",15,3
"10013","green",16,4
"10013","green",17,3
"10013","green",18,6
"10013","green",19,3
"10013","green",20,3
"10013","green",21,5
"10013","green",22,6
"10013","green",23,5
"10013","uber",0,4374
"10013","uber",1,2721
"10013","uber",2,1682
"10013","uber",3,1780
"10013","uber",4,1832
"10013","uber",5,2826
"10013","uber",6,5246
"10013","uber",7,6859
"10013","uber",8,7311
"10013","uber",9,6979
"10013","uber",10,7373
"10013","uber",11,7461
"10013","uber",12,7774
"10013","uber",13,8828
"10013","uber",14,10023
"10013","uber",15,11531
"10013","uber",16,13495
"10013","uber",17,15989
"10013","uber",18,16225
"10013","uber",19,14816
"10013","uber",20,13978
"10013","uber",21,13481
"10013","uber",22,11116
"10013","uber",23,7514
"10014","green",0,10
"10014","green",1,6
"10014","green",2,4
"10014","green",3,2
"10014","green",4,1
"10014","green",6,2
"10014","green",8,2
"10014","green",9,5
"10014","green",10,1
"10014","green",11,1
"10014","green",12,2
"10014","green",13,3
"10014","green",14,1
"10014","green",15,5
"10014","green",16,2
"10014","green",17,1
"10014","green",18,6
"10014","green",19,2
"10014","green",20,5
"10014","green",21,3
"10014","green",22,5
"10014","green",23,5
"10014","uber",0,8734
"10014","uber",1,6196
"10014","uber",2,4125
"10014","uber",3,2845
"10014","uber",4,2134
"10014","uber",5,3785
"10014","uber",6,6707
"10014","uber",7,8273
"10014","uber",8,7705
"10014","uber",9,5357
"10014","uber",10,5247
"10014","uber",11,5421
"10014","uber",12,5803
"10014","uber",13,6711
"10014","uber",14,7939
"10014","uber",15,9440
"10014","uber",16,10699
"10014","uber",17,12160
"10014","uber",18,12340
"10014","uber",19,12796
"10014","uber",20,13677
"10014","uber",21,16556
"10014","uber",22,17046
"10014","uber",23,13427
"10016","green",0,5
"10016","green",1,3
"10016","green",2,3
"10016","green",3,5
"10016","green",5,2
"10016","green",6,2
"10016","green",7,2
"10016","green",8,4
"10016","green",9,5
"10016","green",10,5
"10016","green",11,8
"10016","green",12,7
"10016","green",13,5
"10016","green",14,8
"10016","green",15,2
"10016","green",16,8
"10016","green",17,4
"10016","green",18,11
"10016","green",19,5
"10016","green",20,4
"10016","green",21,5
"10016","green",22,6
"10016","green",23,6
"10016","uber",0,2515
"10016","uber",1,1466
"10016","uber",2,1058
"10016","uber",3,1330
"10016","uber",4,1601
"10016","uber",5,2385
"10016","uber",6,3783
"10016","uber",7,7109
"10016","uber",8,6933
"10016","uber",9,5203
"10016","uber",10,5348
"10016","uber",11,5498
"10016","uber",12,5847
"10016","uber",13,6728
"10016","uber",14,7717
"10016","uber",15,10350
"10016","uber",16,13022
"10016","uber",17,15075
"10016","uber",18,14342
"10016","uber",19,11268
"10016","uber",20,9121
"10016","uber",21,7904
"10016","uber",22,7207
"10016","uber",23,4685
"10017","green",0,2
"10017","green",1,2
"10017","green",2,3
"10017","green",3,1
"10017","green",5,1
"10017","green",6,1
"10017","green",7,1
"10017","green",8,4
